"entite_adm","code_ins","revenu_moyen_decla","revenu_median_decla"
"Fauvillers",82009,60551,53410
"Houffalize",82014,50001,45610
"Vielsalm",82032,49174,44704
"Vaux-sur-Sûre",82036,55079,50136
"Gouvy",82037,47663,44007
"Sainte-Ode",82038,50615,45724
"Arrondissement de Marche-en-Famenne",83000,50708,44513
"Durbuy",83012,48522,42600
"Erezée",83013,49411,43609
"Hotton",83028,49561,44540
"La Roche-en-Ardenne",83031,47252,42136
"Marche-en-Famenne",83034,52563,45086
"Nassogne",83040,52477,47126
"Rendeux",83044,48963,43617
"Tenneville",83049,52777,46554
"Manhay",83055,52694,46926
"Arrondissement de Neufchâteau",84000,53270,46863
"Bertrix",84009,50378,45919
"Bouillon",84010,46301,39993
"Daverdisse",84016,46198,39309
"Herbeumont",84029,51692,45468
"Léglise",84033,62363,54811
"Libin",84035,53335,47627
"Neufchâteau (Neufchâteau)",84043,56212,48984
"Paliseul",84050,49710,43339
"Saint-Hubert",84059,50186,45379
"Tellin",84068,57614,49540
"Wellin",84075,50222,42101
"Libramont-Chevigny",84077,56157,49870
"Arrondissement de Virton",85000,60342,51405
"Chiny",85007,52860,46570
"Etalle",85009,73099,59899
"Florenville",85011,49647,43071
"Meix-devant-Virton",85024,53793,46625
"Musson",85026,60758,52295
"Saint-Léger (Virton)",85034,67406,57280
"Tintigny",85039,60851,52598
"Virton",85045,55568,47564
"Habay",85046,68363,57957
"Rouvroy",85047,53793,47646
"Province de Namur",90000,55671,47656
"Arrondissement de Dinant",91000,51770,45244
"Anhée",91005,51665,45843
"Beauraing",91013,49085,43182
"Bièvre",91015,45942,41039
"Ciney",91030,53901,47920
"Dinant",91034,49723,42853
"Gedinne",91054,45916,40367
"Hamois",91059,57852,52787
"Havelange",91064,55308,48296
"Houyet",91072,49365,43537
"Onhaye",91103,51946,46588
"Rochefort",91114,50916,44584
"Somme-Leuze",91120,51708,45491
"Yvoir",91141,61727,52136
"Hastière",91142,42143,36646
"Vresse-sur-Semois",91143,43388,37936
"Arrondissement de Namur",92000,58409,49778
"Andenne",92003,52079,45074
"Assesse",92006,65966,57763
"Eghezée",92035,63525,55053
"Floreffe",92045,59224,53745
"Fosses-la-Ville",92048,55306,48728
"Gesves",92054,65270,55003
"Mettet",92087,55499,48735
"Namur",92094,58613,48664
"Ohey",92097,55185,51438
"Profondeville",92101,63579,54164
"Sombreffe",92114,59742,52773
"Sambreville",92137,47610,40925
"Fernelmont",92138,64452,57045
"Jemeppe-sur-Sambre",92140,53686,46089
"La Bruyère",92141,67890,59462
"Gembloux",92142,65258,56101
"Arrondissement de Philippeville",93000,49524,42980
"Cerfontaine",93010,50037,44472
"Couvin",93014,44745,39020
"Doische",93018,44611,39404
"Florennes",93022,50611,43959
"Philippeville",93056,47313,41919
"Walcourt",93088,54895,47911
"Viroinval",93090,44461,37274
,,,
"* = Confidentiel",,,
"Source: Statbel (Direction générale Statistique - Statistics Belgium), Revenus fiscaux",,,
" ",,,
"Aperçu",,,
"Schéma",,,
"Glossaire",,,
