"code_ins","lieu_residence","pop_2019"
"71020","Halen",9427
"71022","Hasselt",78296
"71024","Herck-la-Ville",12636
"71034","Bourg-Léopold",15755
"71037","Lummen",14890
"71045","Nieuwerkerken (Hasselt)",6947
"71053","Saint-Trond",40590
"71057","Tessenderlo",18613
"71066","Zonhoven",21237
"71067","Zutendaal",7289
"71069","Ham",10897
"71070","Heusden-Zolder",33708
"72000","Arrondissement de Maaseik",251589
"72003","Bocholt",13110
"72004","Bree",16085
"72018","Kinrooi",12174
"72020","Lommel",34079
"72021","Maaseik",25317
"72030","Peer",16357
"72037","Hamont-Achel",14369
"72038","Hechtel-Eksel",12419
"72039","Houthalen-Helchteren",30655
"72041","Dilsen-Stokkem",20590
"72042","Oudsbergen",23532
"72043","Pelt",32902
"73000","Arrondissement de Tongres",203963
"73001","Alken",11499
"73006","Bilzen",32328
"73009","Looz",10906
"73022","Heers",7391
"73028","Herstappe",83
"73032","Hoeselt",9688
"73040","Kortessem",8442
"73042","Lanaken",25841
"73066","Riemst",16755
"73083","Tongres",30996
"73098","Wellen",7372
"73107","Maasmechelen",38516
"73109","Fourons",4146
"80000","Province du Luxembourg",284638
"81000","Arrondissement d’Arlon",62623
"81001","Arlon",29858
"81003","Attert",5578
"81004","Aubange",17093
"81013","Martelange",1876
"81015","Messancy",8218
"82000","Arrondissement de Bastogne",48413
"82003","Bastogne",15985
"82005","Bertogne",3659
"82009","Fauvillers",2281
"82014","Houffalize",5193
"82032","Vielsalm",7814
"82036","Vaux-sur-Sûre",5640
"82037","Gouvy",5286
"82038","Sainte-Ode",2555
"83000","Arrondissement de Marche-en-Famenne",56476
"83012","Durbuy",11395
"83013","Erezée",3284
"83028","Hotton",5556
"83031","La Roche-en-Ardenne",4253
"83034","Marche-en-Famenne",17465
"83040","Nassogne",5498
"83044","Rendeux",2637
"83049","Tenneville",2832
"83055","Manhay",3556
"84000","Arrondissement de Neufchâteau",63375
"84009","Bertrix",8793
"84010","Bouillon",5411
"84016","Daverdisse",1395
"84029","Herbeumont",1624
"84033","Léglise",5471
"84035","Libin",5223
"84043","Neufchâteau (Neufchâteau)",7699
"84050","Paliseul",5389
"84059","Saint-Hubert",5569
"84068","Tellin",2432
"84075","Wellin",3093
"84077","Libramont-Chevigny",11276
"85000","Arrondissement de Virton",53751
"85007","Chiny",5180
"85009","Etalle",5877
"85011","Florenville",5578
"85024","Meix-devant-Virton",2809
"85026","Musson",4551
"85034","Saint-Léger (Virton)",3608
"85039","Tintigny",4300
"85045","Virton",11332
"85046","Habay",8409
"85047","Rouvroy",2107
"90000","Province de Namur",494325
"91000","Arrondissement de Dinant",111008
"91005","Anhée",7046
"91013","Beauraing",9159
"91015","Bièvre",3355
"91030","Ciney",16580
"91034","Dinant",13451
"91054","Gedinne",4632
"91059","Hamois",7357
"91064","Havelange",5175
"91072","Houyet",4956
"91103","Onhaye",3241
"91114","Rochefort",12611
"91120","Somme-Leuze",5641
"91141","Yvoir",9167
"91142","Hastière",6022
"91143","Vresse-sur-Semois",2615
"92000","Arrondissement de Namur",316962
"92003","Andenne",27391
"92006","Assesse",7032
"92035","Eghezée",16337
"92045","Floreffe",8144
"92048","Fosses-la-Ville",10388
"92054","Gesves",7202
"92087","Mettet",13102
"92094","Namur",110779
"92097","Ohey",5127
"92101","Profondeville",12220
"92114","Sombreffe",8440
"92137","Sambreville",28288
"92138","Fernelmont",8032
"92140","Jemeppe-sur-Sambre",19190
"92141","La Bruyère",9276
"92142","Gembloux",26014
"93000","Arrondissement de Philippeville",66355
"93010","Cerfontaine",4923
"93014","Couvin",13747
"93018","Doische",2997
"93022","Florennes",11310
"93056","Philippeville",9289
"93088","Walcourt",18430
"93090","Viroinval",5659
,,
"Source: Statbel (Direction générale Statistique – Statistics Belgium )",,
"Bron: Statbel (Algemene Directie Statistiek – Statistics Belgium )",,
"Source: Statbel (Directorate-general Statistics – Statistics Belgium )",,
